# G3_IDE_RESIDUAL_AUDIT_001 — Residual Table
# USER AUTHORITY RECLASS 2026-09-10T13:56Z — governing map in CLASSIFICATION.txt
# CRASH_RESIDUAL=0 BACKEND_CONNECTIVITY_RESIDUAL=0 OLLAMA_HEADLESS_REOPEN=0
# OPEN_R01=GUI_POLICY_DEFAULT_DRIFT
# OPEN_R02=LEGACY_11434_FALLBACK_SURFACE
# OPEN_R03=MODEL_PROFILE_ADMISSION  (NEXT_GATE spend G3_IDE_MODEL_PROFILE_ADMISSION_001)
# OPEN_R04=HEADLESS_PRODUCT_TOOL_PARITY
# RETEST_ONLY=model_not_loaded_503 (needs current-binary repro; not blocker without miss)
# RETAIN_CLOSED=relative_path_residual
# GENERATE_AV=CLOSED PORT_11435=CLOSED PRODUCT_COMPLETION=PARTIAL
# PROMOTE=0 TIP_CLIMB=HOLD — sealed receipts NOT reopened
# Historical R01-R28 rows retained; OPEN_* above supersedes for triage.
# Columns: ID | Area | Finding | Classification | Impact | Evidence | Recommended next

ID	Area	Finding	Classification	Impact	Evidence path/symbol	Recommended next
R01	/api/generate + oneshot	ProductDeep2Infer AV residual	CLOSED / GENERATE_AV	Sealed live repro+fix; DualStick DO_NOT_REOPEN	G3_IDE_GENERATE_AV_LIVE_REPRO_001; G3_IDE_GENERATE_AV_FIX_001	NONE
R02	Native E2E prepare	Disk register sealed; USER OPEN_R03=MODEL_PROFILE_ADMISSION spends GGUF-meta admission + seed removal	SUPERSEDED->OPEN_R03	G3_NATIVE_MODEL_PROFILE_001 intact; admission gate = G3_IDE_MODEL_PROFILE_ADMISSION_001	G3_NATIVE_MODEL_PROFILE_001; CLASSIFICATION.txt	Spend OPEN_R03 only
R03	GUI EngineAPI vs server	Thin adapters: policies/extensions/browse/explain/backends/use/metrics/complete HTTP!=404 sealed	CLOSED	Sealed PASS FAIL_COUNT_404=0; backends/use->setActiveBackend; ollama 422 LOCAL_ONLY	G3_IDE_RESIDUAL_R03_001/RECEIPT.txt	NONE — do not reopen
R04	Headless file ops	HTTP aliases delete/rename/copy/move/mkdir/stat/search/list-directory -> ToolRoutes	CLOSED	Sealed PASS FAIL_COUNT_404=0 live FS ops + /api/tool	G3_IDE_RESIDUAL_R04_001/RECEIPT.txt	NONE — do not reopen
R05	agenticMode default	product agenticMode:false HELD; GUI policy default drift	OPEN_R01=GUI_POLICY_DEFAULT_DRIFT	Held for after admission	gui standalone agenticMode:false	After OPEN_R03
R06	11434 vs 11435	:11435 canonical CLOSED; leftover 11434 fallback surface	PORT_11435=CLOSED / OPEN_R02=LEGACY_11434_FALLBACK_SURFACE	Canonical port closed; OPEN_R02 later	gui State.backend; G3_R1_TEN_GGUF_MATRIX_001	After OPEN_R03
R07	Relative tool paths	--dir product path green	RETAIN_CLOSED=relative_path_residual	Closed with --dir	G3_STREAMER_AGENTIC_CONTINUE_ENSURE_001	Keep --dir
R08	model_not_loaded ship	Link CLOSED; runtime 503 only if miss returns	RETEST_ONLY=model_not_loaded_503	Not blocker without current-binary repro	G3_LINK_SUBSTRATE_HANDOFF_001	Reprobe only on live miss
R09	Headless vs LocalServer parity	status-only vs full GUI-mode richness	PARTIAL / feeds OPEN_R04	OPEN_R04=HEADLESS_PRODUCT_TOOL_PARITY after admission	HeadlessIDE::routeStatusRequest; LocalServer	After OPEN_R03
R10	/api/backends/use mismatch	SUPERSEDED by residual-R03 adapters: use->setActiveBackend(LocalGGUF); Ollama 422 LOCAL_ONLY	CLOSED	Sealed FAIL_COUNT_404=0 on use->deep2 200	G3_IDE_RESIDUAL_R03_001; LocalServer ~L1200	NONE — do not reopen as STUBBED
R11	Native prepare LocalServer	LocalServer+Headless both RAWR_HAS_NATIVE_E2E TryHandle /api/native/*	PARTIAL historically; product TryHandle present	prepare via native_e2e link	HeadlessIDE.cpp; Win32IDE_LocalServer.cpp TryHandle	Keep linked; OPEN_R03 covers admission
R12	LSP / debugger bridges	Headless Server profile thinner; full debug is LocalServer/GUI-mode	HELD_BY_POLICY / PARTIAL	Intentional server-profile hold	HeadlessIDE.cpp initLSPClient skip	Keep hold
R13	Agent history/replay headless	Headless /api/agents* empty vs LocalServer history/replay	PARTIAL	Replay/history hollow on headless	HeadlessIDE::routeStatusRequest agents	OPEN_R04 scope later
R14	Persistence / session	FULLFIX members; GUI<->headless replay E2E not re-proven this audit	UNOBSERVED	May work; not live-witnessed here	G3_IDE_BACKEND_FULLFIX_001	Optional smoke
R15	Shutdown / restart	LocalServer drain sealed; concurrent rebuild can vanish EXE	PARTIAL	Ops fragility	LocalServer stop drain L882	Use smoke_bin copy
R16	DeepThinking / digestion stubs	TODO load/loop; digestion_engine_stub present	STUBBED / NON_BLOCKING	Not on generate critical path	RawrXD_DeepThinking_Init.cpp	Leave
R17	Quarantined Ollama clients	fail-closed LOCAL_ONLY	CLOSED / HELD_BY_POLICY	Intentional	Win32IDE_AgentOllamaClient.cpp	No action
R18	MOTD gate	G3_MOTD_PER_TURN_ENFORCEMENT_001 SUPERSEDED/CLOSED	CLOSED / SUPERSEDED	Required fail-closed	G3_MOTD_PER_TURN_ENFORCEMENT_001	Do not weaken
R19	TIP_CLIMB / DualStick / ArmSpeed	Performance climb + DualStick closure	CLOSED	Out of IDE residual scope	PERF_COMPLETION_CONTRACT	TIP_CLIMB=HOLD
R20	agenticMode=true enablement	Flip to true as feature	HELD_BY_POLICY / OPEN_R01	Separate policy event	PARITY CLOSED	Hold false
R21	Background boot	RAWRXD_ENABLE_BACKGROUND_BOOT off by default	HELD_BY_POLICY / NON_BLOCKING	Intentional	main_win32.cpp ~L1307	Leave off
R22	Hotpatch / experimental flags	require RAWRXD_ENABLE_*	HELD_BY_POLICY	Experimental off	HeadlessIDE.cpp	Leave gated
R23	/ask /v1/chat/completions presence	Both servers route to generation	CLOSED	Live re-smoke PASS TinyLlama	G3_R1_TEN_GGUF_MATRIX_001/WITNESS_R23_ASK_V1.txt	NONE
R24	Model load/unload	10-model lifecycle sealed	CLOSED	PASS_COUNT=10/10; multi-family ProductOpen separate	G3_IDE_R24_10MODEL_LIFECYCLE_001	NONE; PROMOTE=0
R25	Router defaults	LOCAL_ONLY blocks Ollama	PARTIAL	LocalGGUF only	HeadlessIDE initLLMRouter	Keep LOCAL_ONLY
R26	FutureConsumer chair+gen	Chair wake wired; decode observational	FAIL_CLOSED_CORE_PASS	P01/P12 observational	G3_HOST_FUTURECONSUMER_CHAIR_GEN_001	PROMOTE=0
R27	K3-C public loop	Live ProductRuntime bind	LIVE_E2E_PASS	TOKEN_SURVIVED=1; stub drop non-authority	G3_K3C_E2E_REAL_001	PROMOTE=0
R28	KN_O3KKEN TOKEN<->K3-C NODEP	Witness sealed; APPLY_HOST_DECODE held	WITNESS_SEALED / APPLY_HELD	APPLY=0	RAWRXD_K3C_TOKEN_KN_O3KKEN_NODEP_001	Hold apply

# --- Governing OPEN (USER reclass) ---
# OPEN_R01 GUI_POLICY_DEFAULT_DRIFT
# OPEN_R02 LEGACY_11434_FALLBACK_SURFACE
# OPEN_R03 MODEL_PROFILE_ADMISSION (spending)
# OPEN_R04 HEADLESS_PRODUCT_TOOL_PARITY
# --- CLOSED left untouched ---
# G3_STREAMER_AGENTIC_IDE_PARITY_001
# G3_STREAMER_AGENTIC_CONTINUE_ENSURE_001
# HEADLESS_/api/tool_UNSTUB
# DUALSTICK_ARMSPEED / TIP_CLIMB
# G3_MOTD_PER_TURN_ENFORCEMENT_001
# G3_NATIVE_MODEL_PROFILE_001 (disk register; OPEN_R03 meta admission is NEXT_GATE)
# GENERATE_AV seals (do not reopen)
