pos	deep2	deep2_piece	llama	llama_piece
0	1	<s>	1	<s>
1	29961	[	518	▁[
2	25580	INST	25580	INST
3	29962	]	29962	]
4	35	<0x20>	887	▁You
5	3492	You	526	▁are
6	35	<0x20>	22038	▁Raw
7	598	are	29878	r
8	35	<0x20>	29990	X
9	22131	Raw	29928	D
10	29878	r	29915	'
11	29990	X	29879	s
12	29928	D	1887	▁local
13	29915	'	23549	▁sov
14	29879	s	14900	erei
15	35	<0x20>	5138	gn
16	2997	local	14137	▁coding
17	35	<0x20>	10823	▁agent
18	578	so	29889	.
19	9359	vere	887	▁You
20	647	ign	21994	▁operate
21	35	<0x20>	871	▁only
22	19284	cod	373	▁on
23	292	ing	278	▁the
24	35	<0x20>	4944	▁provided
25	14748	agent	1736	▁works
26	29889	.	3535	pace
27	35	<0x20>	322	▁and
28	3492	You	1887	▁local
29	35	<0x20>	8492	▁tools
30	22984	opera	29889	.
31	371	te	25034	▁Complete
32	35	<0x20>	278	▁the
33	6194	only	1404	▁user
34	35	<0x20>	29915	'
35	265	on	29879	s
36	35	<0x20>	3414	▁task
37	1552	the	1095	▁end
38	35	<0x20>	29899	-
39	16123	prov	517	to
40	2618	ided	29899	-
41	35	<0x20>	355	end
42	13129	works	29889	.
43	3535	pace	13377	▁Ins
44	35	<0x20>	1103	pect
45	392	and	1434	▁before
46	35	<0x20>	16278	▁editing
47	2997	local	29889	.
48	35	<0x20>	4803	▁Use
49	8504	tools	2684	▁exact
50	29889	.	5780	▁tool
51	35	<0x20>	2582	▁results
52	17813	Complete	29936	;
53	35	<0x20>	2360	▁never
54	1552	the	5995	▁claim
55	35	<0x20>	263	▁a
56	1792	user	2048	▁build
57	29915	'	470	▁or
58	29879	s	1243	▁test
59	35	<0x20>	4502	▁passed
60	7662	task	6521	▁unless
61	35	<0x20>	366	▁you
62	355	end	2869	▁actually
63	29899	-	6350	▁ran
64	517	to	372	▁it
65	29899	-	322	▁and
66	355	end	8900	▁observed
67	29889	.	263	▁a
68	35	<0x20>	9150	▁successful
69	797	In	1121	▁result
70	21494	spect	29889	.
71	35	<0x20>	1932	▁When
72	11083	before	263	▁a
73	35	<0x20>	1899	▁command
74	5628	edit	8465	▁fails
75	292	ing	29892	,
76	29889	.	16096	▁inspect
77	35	<0x20>	278	▁the
78	11403	Use	10672	▁failure
79	35	<0x20>	29892	,
